"MSA","Counties","Wage Index","GAF"
"1720","Colorado Springs, CO El Paso, CO","0.9771","0.9843"
"1740","Columbia, MO Boone, MO","0.8388","0.8866"
"1760","Columbia, SC Lexington, SC Richland, SC","0.9459","0.9626"
"1800","Columbus, GA-AL Russell, AL Chattahoochee, GA Harris, GA Muscogee, GA","0.8691","0.9084"
"1840","1 Columbus, OH Delaware, OH Fairfield, OH Franklin, OH Licking, OH Madison, OH Pickaway, OH","0.9751","0.9829"
"1880","Corpus Christi, TX Nueces, TX San Patricio, TX","0.8645","0.9051"
"1890","Corvallis, OR Benton, OR","1.0534","1.0363"
"1900","2 Cumberland, MD-WV (MD Hospitals) Allegany, MD Mineral, WV","0.9176","0.9428"
"1900","Cumberland, MD-WV (WV Hospitals) Allegany, MD Mineral, WV","0.8652","0.9056"
"1920","1 Dallas, TX Collin, TX Dallas, TX Denton, TX Ellis, TX Henderson, TX Hunt, TX Kaufman, TX Rockwall, TX","1.0048","1.0033"
"1950","Danville, VA Danville City, VA Pittsylvania, VA","0.8660","0.9062"
"1960","Davenport-Moline-Rock Island, IA-IL Scott, IA Henry, IL Rock Island, IL","0.8758","0.9132"
"2000","Dayton-Springfield, OH Clark, OH Greene, OH Miami, OH Montgomery, OH","0.9227","0.9464"
"2020","Daytona Beach, FL Flagler, FL Volusia, FL","0.8901","0.9234"
"2030","Decatur, AL Lawrence, AL Morgan, AL","0.8893","0.9228"
"2040","2 Decatur, IL Macon, IL","0.8348","0.8837"
"2080","1 Denver, CO Adams, CO Arapahoe, CO Broomfield, CO Denver, CO Douglas, CO Jefferson, CO","1.0879","1.0594"
"2120","Des Moines, IA Dallas, IA Polk, IA Warren, IA","0.9266","0.9491"
"2160","1 Detroit, MI Lapeer, MI Macomb, MI Monroe, MI Oakland, MI St. Clair, MI Wayne, MI","1.0232","1.0158"
"2180","2 Dothan, AL Dale, AL Houston, AL","0.7656","0.8328"
"2190","Dover, DE Kent, DE","0.9866","0.9908"
"2200","Dubuque, IA Dubuque, IA","0.8730","0.9112"
"2240","Duluth-Superior, MN-WI St. Louis, MN Douglas, WI","1.0345","1.0235"
"2281","Dutchess County, NY Dutchess, NY","1.1659","1.1108"
"2290","2 Eau Claire, WI Chippewa, WI Eau Claire, WI","0.9496","0.9652"
"2320","El Paso, TX El Paso, TX","0.9213","0.9454"
"2330","Elkhart-Goshen, IN Elkhart, IN","0.9257","0.9485"
"2335","Elmira, NY Chemung, NY","0.8464","0.8921"
"2340","Enid, OK Garfield, OK","0.9008","0.9310"
"2360","Erie, PA Erie, PA","0.8700","0.9090"
"2400","Eugene-Springfield, OR Lane, OR","1.0921","1.0622"
"2440","2 Evansville-Henderson, IN-KY (IN Hospitals) Posey, IN Vanderburgh, IN Warrick, IN Henderson, KY","0.8740","0.9119"
"2440","Evansville-Henderson, IN-KY (KY Hospitals) Posey, IN Vanderburgh, IN Warrick, IN Henderson, KY","0.8409","0.8881"
"2520","Fargo-Moorhead, ND-MN (ND Hospitals) Clay, MN Cass, ND","0.9189","0.9437"
"2520","2 Fargo-Moorhead, ND-MN (MN Hospitals) Clay, MN Cass, ND","0.9339","0.9542"
"2560","Fayetteville, NC Cumberland, NC","0.9363","0.9559"
"2580","Fayetteville-Springdale-Rogers, AR Benton, AR Washington, AR","0.8670","0.9069"
"2620","Flagstaff, AZ-UT Coconino, AZ Kane, UT","1.0603","1.0409"
"2640","Flint, MI Genesee, MI","1.1165","1.0784"
"2650","Florence, AL Colbert, AL Lauderdale, AL","0.7906","0.8514"
"2655","Florence, SC Florence, SC","0.8983","0.9292"
"2670","Fort Collins-Loveland, CO Larimer, CO","1.0230","1.0157"
"2680","1 Ft. Lauderdale, FL Broward, FL","1.0382","1.0260"
"2700","Fort Myers-Cape Coral, FL Lee, FL","0.9338","0.9542"
"2710","Fort Pierce-Port St. Lucie, FL Martin, FL St. Lucie, FL","1.0093","1.0064"
"2720","Fort Smith, AR-OK Crawford, AR Sebastian, AR Sequoyah, OK","0.8320","0.8817"
"2750","Fort Walton Beach, FL Okaloosa, FL","0.8781","0.9148"
"2760","Fort Wayne, IN Adams, IN Allen, IN De Kalb, IN Huntington, IN Wells, IN Whitley, IN","0.9731","0.9815"
"2800","1 Forth Worth-Arlington, TX Hood, TX Johnson, TX Parker, TX Tarrant, TX","0.9522","0.9670"
"2840","Fresno, CA Fresno, CA Madera, CA","1.0509","1.0346"
"2880","Gadsden, AL Etowah, AL","0.8077","0.8639"
"2900","Gainesville, FL Alachua, FL","0.9446","0.9617"
"2920","Galveston-Texas City, TX Galveston, TX","0.9387","0.9576"
"2960","Gary, IN Lake, IN Porter, IN","0.9337","0.9541"
"2975","Glens Falls, NY Warren, NY Washington, NY","0.8486","0.8937"
"2980","Goldsboro, NC Wayne, NC","0.8776","0.9145"
"2985","Grand Forks, ND-MN (ND Hospitals) Polk, MN Grand Forks, ND","0.9147","0.9408"
"2985","2 Grand Forks, ND-MN (MN Hospitals) Polk, MN Grand Forks, ND","0.9339","0.9542"
"2995","Grand Junction, CO Mesa, CO","0.9932","0.9953"
"3000","1 Grand Rapids-Muskegon-Holland, MI Allegan, MI Kent, MI Muskegon, MI Ottawa, MI","0.9523","0.9671"
"3040","Great Falls, MT Cascade, MT","0.8831","0.9184"
"3060","Greeley, CO Weld, CO","0.9732","0.9816"
"3080","Green Bay, WI Brown, WI","0.9573","0.9706"
"3120","1 Greensboro-Winston-Salem-High Point, NC Alamance, NC Davidson, NC Davie, NC Forsyth, NC Guilford, NC Randolph, NC Stokes, NC Yadkin, NC","0.9324","0.9532"
"3150","Greenville, NC Pitt, NC","0.9179","0.9430"
"3160","Greenville-Spartanburg-Anderson, SC Anderson, SC Cherokee, SC Greenville, SC Pickens, SC Spartanburg, SC","0.9383","0.9573"
"3180","Hagerstown, MD Washington, MD","0.9982","0.9988"
"3200","Hamilton-Middletown, OH Butler, OH","0.9126","0.9393"
"3240","Harrisburg-Lebanon-Carlisle, PA Cumberland, PA Dauphin, PA Lebanon, PA Perry, PA","0.9299","0.9514"
"3283","1, 2 Hartford, CT Hartford, CT Litchfield, CT Middlesex, CT Tolland, CT","1.1583","1.1059"
"3285","2 Hattiesburg, MS Forrest, MS Lamar, MS","0.7600","0.8287"
